"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Seconds viewed","Average Seconds viewed","Ad CPM (USD)","Ad impressions","Negative feedback from users: Hide","Estimated earnings (USD)","Negative feedback from users: Hide all"
1128364012479020,61569634500241,"Juan365 Live Stream","Juana babe zell and Ashley","Tara, hangout muna tayo Juankada! Live na kami ni @[61580337497087:2048:Juana Babe Ashley] and @[61580479407070:2048:Juana Babe Zell] 😄✨

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",2077,"12/05/2025 23:30",N/A,https://www.facebook.com/juan365livestream/videos/1128364012479020/,0,0,Live,,,,,Lifetime,4775,3036,684,314,221,149,861,861,,,161135.203,41.918,0,0,,,
122153556458654483,61569634500241,"Juan365 Live Stream","It’s a Juanababe kind of afternoon! 💛💫
Catch Zell & Ash LIVE at 3:30 PM —
siguradong masaya, maingay, at punong-puno ng energy!

🔔 Follow the page para lagi kang una sa ganap!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/05/2025 17:29",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02P28BpukmxqZEcgYxrWq4svFLJTsyEez2yb4HQFoz8iodvM9Xd1vsvLW27FMU7ZQnl,0,0,Photos,,,,,Lifetime,1326,577,173,96,48,29,42,34,8,,,,,,,,
122153500442654483,61569634500241,"Juan365 Live Stream","Mas masaya ’pag kasama ang Juankada — i-scan ang QR at sabay-sabay tayong sumubok ng swerte sa Juan365!

Don’t forget to tag your friends na gusto mo ring isali sa saya! 💙

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/05/2025 04:02",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02wDqR7hbM6pNzoHULFtp7GQRBoKfKrVPBQLfbLwpHYvWMaqpSD411rmk27Et5VfyBl,0,0,Photos,,,,,Lifetime,1849,860,155,89,40,26,88,63,25,,,,,,,,
122153495102654483,61569634500241,"Juan365 Live Stream","LIVE TODAY! GRAND DRAW ALERT! 🔥
Don’t blink — baka name mo na ang tawagin!

Ikaw na ba ang susunod na mag-uuwi ng pa-premyo?
Huwag bibitaw — stay tuned!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/05/2025 02:12",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0PxWeVpsbtHxnx3s96zUyiU8gfQSX1A2PxZ8bFzq8Fm2rnYh4LUf27dJz2goGbq7Xl,0,1,Live,,,,,Lifetime,,843,116,71,45,0,253,253,,,,,,,,,
122153486036654483,61569634500241,"Juan365 Live Stream","Happy 19K, Juankada! 🎉 Maraming salamat sa walang sawang suporta. Konti na lang — 20K na tayo! Tuloy-tuloy lang ang saya! 🧡✨

Roll call! Comment “COUNT ME IN+member ID ” kung isa ka sa OG 19K fam!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/04/2025 23:38",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02F7DwHJMnxEp65ay1zYQogdWV8Dacn1vGV6uPm7ptgJkfo2bcVjdGnWK7pQG99fLWl,0,0,Photos,,,,,Lifetime,2411,1016,407,203,150,54,153,141,12,,,,,,,,
122153476118654483,61569634500241,"Juan365 Live Stream","JUANKADA, TONIGHT’S THE NIGHT! 🔥
The GRAND DRAW for Surpresa ni Juan is happening later — and YOU might be the lucky one! 🎁

Livestream starts at 6PM SHARP!
Don’t miss the thrill, the fun, and the big reveal! 🙌💙

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"12/04/2025 20:28",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0GvwVJhqo3mZkm4CZN9vCFwMFdgAVVjBsqk4BShZFB5UbRDuUBc86pyiqYBwRCVKzl,0,0,Photos,,,,,Lifetime,6459,3397,430,226,129,75,292,253,39,,,,,,,,
122153420438654483,61569634500241,"Juan365 Live Stream","Comment your Christmas hiling sa freedom wall — Malay mo, ikaw ang mabunot at matupad ang wish mo! 🎁😉

Your wish + member ID.

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/04/2025 02:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid021vyJR2ixE2wPB5BWgfBbNrYmj7q9wg11bADrQWzANAXBTf49sAC4ahi8qPJYUvYEl,0,0,Photos,,,,,Lifetime,3632,1578,529,219,224,86,205,184,21,,,,,,,,
122153416916654483,61569634500241,"Juan365 Live Stream","Follow Juana Babe Sena💙 and comment your Users ID na!

#juanababes #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,"12/04/2025 01:21",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02mGfGRqTYWLeQpbpcSPvLT77PZiYXqq4q9k7za3v38hNGxLkDqwhY4oKfxrSs3q4el,0,1,Photos,,,,,Lifetime,1627,709,175,105,65,5,116,96,20,,,,,,,,
122153413736654483,61569634500241,"Juan365 Live Stream","Switched to Christmas mode! 🎅🎁
Spread the holiday love and celebrate with us at Juan365 Livestream!

#juanababes #Juan365livestream #Juan365PH",,0,"12/04/2025 00:36",N/A,https://www.facebook.com/photo.php?fbid=122153413736654483&set=a.122097243494654483&type=3,0,0,Photos,,,,,Lifetime,2311,1058,206,139,52,15,95,91,4,,,,,,,,
122153409536654483,61569634500241,"Juan365 Live Stream","Hindi kumpleto ang linggo mo kapag… hindi ka naglalaro sa Juan365! 🎰 Pero relax, play responsibly lang ha! 😉

Kayo, Juankada? 🤩 Comment niyo naman  kung paano nakukompleto ni juan365 ang linggo nyo.

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/03/2025 23:07",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02m3mopgm37xUXfCPBtj9QWDg7fw4CJE6tvb8e9CqLfFQ7HgKpGPrCQ4EsvCZXfbuEl,0,0,Photos,,,,,Lifetime,1850,849,227,123,72,32,72,68,4,,,,,,,,
122153389724654483,61569634500241,"Juan365 Live Stream","Juankada, we dare you! 😎🎉
Join our group and invite your friends — mas masaya pag sama-sama!

Tara na, sali na!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/03/2025 18:04",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02tDD5SsQpUgDWbkJSM1h1nf1qUrPcSXeDHMv5myVE4d4dhHMgkrzdzNhPU28AJ7mLl,0,0,Photos,,,,,Lifetime,3246,1309,266,167,55,44,100,75,24,1,,,,,,,
122153358812654483,61569634500241,"Juan365 Live Stream","Celebrating all the winners today! 🎉
Keep the fun alive, play with heart, and stay responsible! 💖🎮
#juanababes  #Juan365livestream  #Juan365PH 
#AllInJuanSaSaya  #JuanKada  #Juan365  #TheResponsibleJuan",,0,"12/03/2025 07:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid067RFiB8ndrZhqpqn3XuigMK4MJWv9AGgcnrsowJcyqDgJUQXqDXWrTH92P81BXcYl,0,0,Photos,,,,,Lifetime,2612,1251,240,136,73,31,83,67,16,,,,,,,,
122153349980654483,61569634500241,"Juan365 Live Stream","Mood check, Juankada! 😆🎮 Comment mo yan with a GIF — let’s see!

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"12/03/2025 05:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0rjv8worzrRZdjQqXGFioC1BG5HS2eCTqDP7S6NUTcHLyGiTBVL7VvzFCz2jQWKsXl,0,0,Photos,,,,,Lifetime,2307,1071,247,136,87,24,119,106,13,,,,,,,,
122153337368654483,61569634500241,"Juan365 Live Stream","Mas masaya ’pag mas marami — share the Juan365 livestream page now! 🤝📲💫

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"12/03/2025 03:30",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0F9dMAyrzov5y96SuCiGJrC1P1qV7aTcrxFBhuvzQrfeNHLgt7artQv9vtywAo7Zql,0,0,Photos,,,,,Lifetime,1734,829,145,103,26,16,84,58,26,,,,,,,,
816051317904128,61569634500241,"Juan365 Live Stream","Juana babe Abi and Ashley","RE LIVE
pasok na sa live Juankada! 💬Real-time chikahan with your@[61580716220863:2048:Juana Babe Abi]i and@[61580337497087:2048:Juana Babe Ashley]y💖

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",2282,"12/03/2025 01:51",uploaded,https://www.facebook.com/juan365livestream/videos/816051317904128/,0,0,Live,,,,,Lifetime,2347,1760,4155,586,3364,205,228,215,,13,181734.376,107.662,0,0,,,
813997361636485,61569634500241,"Juan365 Live Stream","Juanababe Ashley and Abi","Vibe check mga ka Juankada! Pasok na sa live at maki-hype with @[61580716220863:2048:Juana Babe Abi] and @[61580337497087:2048:Juana Babe Ashley] 🥰

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",5654,"12/03/2025 00:04",uploaded,https://www.facebook.com/juan365livestream/videos/813997361636485/,0,0,Live,,,,,Lifetime,12816,12721,6425,2343,2093,1989,1360,1359,,1,573188.75,58.369,0,0,,,
122153302172654483,61569634500241,"Juan365 Live Stream","Juankada, may slight adjustment lang po tayo sa schedule ng live ⏰

From 3PM, magiging 4PM–6PM na po tayo.

Kita-kits mamaya! 🧡✨",,0,"12/02/2025 22:49",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0J51fuKTSi8zNKS8GRtzQLL3hYqvg5FfQHnmjA4WQ6MeFr9Xbu3o1tdbxqjiKfPrpl,0,1,Photos,,,,,Lifetime,2002,832,162,116,36,10,45,39,6,,,,,,,,
122153284970654483,61569634500241,"Juan365 Live Stream","Red-hot energy coming your way! 🔥📣

Catch JUANABABE Abi & Ash LIVE on December 3, 3:00–5:00 PM! 

#juanababes #Juan365livestream #AllInJuanSaSaya #JuanKada #Juan365",,0,"12/02/2025 17:30",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0AVLDJ9FhFiVUKLojHQH41KKMm1hzrMv4uEqvCb8agN7VvTKbVBGHNYmjHaUtkPvcl,0,0,Photos,,,,,Lifetime,4784,2255,524,338,140,46,226,196,30,,,,,,,,
122153252546654483,61569634500241,"Juan365 Live Stream","Celebrating all the winners today! 🎉
Keep the fun alive, play with heart, and stay responsible! 💖🎮
#juanababes  #Juan365livestream  #Juan365PH 
#AllInJuanSaSaya  #JuanKada  #Juan365  #TheResponsibleJuan",,0,"12/02/2025 07:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0qccGbNtfrALRENhnWykxXMsi4haExJsGVshmvxeYhrKoCgNX8trtowwJAdUibhcKl,0,0,Photos,,,,,Lifetime,4720,2354,305,175,88,42,244,148,22,74,,,,,,,
122153234318654483,61569634500241,"Juan365 Live Stream","Hindi kumpleto ang linggo mo kapag… hindi ka naglalaro sa Juan365? 🤔 No worries! basta relax, and play responsibly lang ha! 😉

Kayo, Juankada? 🤩 Comment niyo naman kung ano ang kumukumpleto sa linggo niyo! 👇 

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/02/2025 03:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02xGfZLaypCfNwrWrCpgjDM1owvc14AzbV76q7r4CKFg78MfrASN6SvJPL2nytmkV6l,0,0,Photos,,,,,Lifetime,2157,990,270,153,82,35,56,49,7,,,,,,,,
1629823894665159,61569634500241,"Juan365 Live Stream","Juana babe Abi and Jam","pasok na sa live Juankada! 💬Real-time chikahan with your@[61580716220863:2048:Juana Babe Abi]i and@[61580395595183:2048:Juana Babe Jam]m💖

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",8406,"12/01/2025 23:29",uploaded,https://www.facebook.com/juan365livestream/videos/1629823894665159/,0,0,Live,,,,,Lifetime,11880,12076,14245,2566,9139,2540,1157,1156,,1,771605.578,85.044,0,0,,,
122153201972654483,61569634500241,"Juan365 Live Stream","Hassle-free checkout? Nasa Juan365 na ’yan! ✨

Your go-to payment methods are ready! 🧡

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"12/01/2025 22:51",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02SvWxP3KaUS1iuXa7SzvsvydmgLZPea63ZXMcubjwtKnndxesBqJUzDe1d2UxLzM8l,0,0,Photos,,,,,Lifetime,2467,1189,192,120,35,37,62,56,6,,,,,,,,
122153186288654483,61569634500241,"Juan365 Live Stream","Join the fun and feel the hype with Juanababe Jam and Juanababe Abi!

🎮 December 2 | 3:30–5:30 PM

Don’t miss the chance to hang out, play, and win big with us — kita-kits Juankada! 💙✨

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"12/01/2025 17:41",N/A,https://www.facebook.com/juan365livestream/posts/pfbid01NKSRexW5EStu9e471XLgo26BYRN5rq1yfAi3QGvhbXD1AZU8K39VEFvWnHk3BFSl,0,0,Photos,,,,,Lifetime,1918,961,200,126,33,41,54,48,6,,,,,,,,
122153155976654483,61569634500241,"Juan365 Live Stream","Celebrating all the winners today! 🎉
Keep the fun alive, play with heart, and stay responsible! 💖🎮

#juanababes  #Juan365livestream  #Juan365PH 
#AllInJuanSaSaya  #JuanKada  #Juan365  #TheResponsibleJuan",,0,"12/01/2025 07:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02k4f43vg1RVGhPco6jjMLNFCW87fyiDduK9LjRkwFSc6XRtFQAqjkq58Em5t1vk8Ql,0,0,Photos,,,,,Lifetime,3531,1648,254,140,71,43,342,158,184,,,,,,,,
122153138108654483,61569634500241,"Juan365 Live Stream","All I want for Christmas is… 🤔🎄

Ikaw, anong pipiliin mo sa tatlo? 
Comment down below! 🥳👇

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/01/2025 03:30",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02YSq89TxZP6Pk9TpCkAgrzcxyqFN7y5SHRg58DfjgqnyFKKJCZcL9nHVu2JgfocAml,0,0,Photos,,,,,Lifetime,2576,1198,317,161,113,43,178,163,15,,,,,,,,1
1487190772579877,61569634500241,"Juan365 Live Stream","Juana babe Zell and Ashley","Kasama ka, kasama ko, kasama nating lahat mga Juankada live na! with @[61580337497087:2048:Juana Babe Ashley] and @[61580479407070:2048:Juana Babe Zell]

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya  #JuanKada #Juan365 #TheResponsibleJuan",8596,"11/30/2025 23:29",uploaded,https://www.facebook.com/juan365livestream/videos/1487190772579877/,0,0,Live,,,,,Lifetime,13324,13258,9390,2521,5135,1734,1314,1314,,,720737.255,69.744,0,0,,,
122153101280654483,61569634500241,"Juan365 Live Stream","Kamusta ang Christmas bonus mo, Juankada? 💸✨
 Natanggap na ba o nag-‘loading… please wait’ pa rin? 😂🎄

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"11/30/2025 22:30",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0ecGyY275NCnxtTSMqQdubvQyKqrVLNqYSZXvkaQ9AFXwpQggCtnyVtkxNCjn6hEBl,0,0,Photos,,,,,Lifetime,2580,1095,240,142,59,39,80,72,8,,,,,,,,
122153091206654483,61569634500241,"Juan365 Live Stream","She’s giving mystery. She’s giving tease.
She’s giving “OMG, who is she?!” 👀

LIVE reveal soon. Abangan. ✨

#juanababe  #juan365  #juan365livestream",,0,"11/30/2025 19:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02N4KRDM5wZkLFSVne9ybd8SuTTSHs4yGKgbpyKY8Mp6PUySFv9w7UoqmwoM5orEccl,0,0,Photos,,,,,Lifetime,3552,1686,261,164,66,31,154,132,22,,,,,,,,
122153085962654483,61569634500241,"Juan365 Live Stream","Huwag palampasin, Juankada! 🎉
LIVE tayo mamaya 3:30 PM — tara, join the fun!

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"11/30/2025 17:29",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0scvCiTKkQKJYXvCip2Mj9DeF2kLoJyJvKdoPuLH4sc4CdDeZFgRjCcSZNgvGUhy9l,0,0,Photos,,,,,Lifetime,2665,1266,229,144,55,30,82,68,14,,,,,,,,
122153031884654483,61569634500241,"Juan365 Live Stream","Ending November with gratitude ✨ 

Juankada, exciting new memories are coming next month!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"11/30/2025 02:30",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0PyPKZSuoJvRGus5bzRWuGCHfmHMcvvEdMdLjG3FKMEL9NocQwTsWy8tLYQZWBnpel,0,0,Photos,,,,,Lifetime,3386,1675,253,162,64,27,164,98,12,54,,,,,,,
2041577606391502,61569634500241,"Juan365 Live Stream","RE LIVE JUANKADA!","RE LIVE JUANKADA!

Ano kayang mangyayari Juankada? Live na with Juana Babe Zell and Juana Babe Ashley! 😮

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya  #JuanKada #Juan365 #TheResponsibleJuan",4019,"11/30/2025 01:24",uploaded,https://www.facebook.com/juan365livestream/videos/2041577606391502/,0,0,Live,,,,,Lifetime,3630,2414,5620,912,3682,1026,278,278,,,293670.924,120.901,0,0,,,
1360152989225449,61569634500241,"Juan365 Live Stream","Juana babe Zell and Ashley","Ano kayang mangyayari Juankada? Live na with @[61580479407070:2048:Juana Babe Zell] and @[61580337497087:2048:Juana Babe Ashley]! 😮

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya   #JuanKada #Juan365 #TheResponsibleJuan",2830,"11/30/2025 00:30",uploaded,https://www.facebook.com/juan365livestream/videos/1360152989225449/,0,0,Live,,,,,Lifetime,9965,10404,3158,1318,1004,836,1013,990,,23,264250.404,32.272,0,0,,,
122153007482654483,61569634500241,"Juan365 Live Stream","🚨𝗔𝗧𝗧𝗘𝗡𝗧𝗜𝗢𝗡 𝗝𝗨𝗔𝗡𝗞𝗔𝗗𝗔! 🚨

Na-MOVE ang LIVE! Lipat tayo sa 𝟰:𝟯𝟬 𝗣𝗠 – 𝟲:𝟯𝟬 𝗣𝗠! 🔥🔥

Set your alarms… See you later, Juankada!💙⚡

#Juan365livestream #juanababes #Juan365",,0,"11/29/2025 23:13",N/A,https://www.facebook.com/juan365livestream/posts/pfbid03MKK5q45oh6zcrVnZGoiv7cV8ypQhxWENm2g2T227WjDKUYcz4NqfTHXoAUwZJLRl,0,1,Photos,,,,,Lifetime,1852,838,150,108,25,17,65,56,9,,,,,,,,
122153006342654483,61569634500241,"Juan365 Live Stream","Ngayong November 30, ipinagdiriwang nating mga Pilipino ang ""Bonifacio Day"". 🇵🇭

Sa Araw ni Bonifacio, alalahanin natin ang kabayanihan at panawagan niya sa pagkakaisa. Gamitin natin ang aral ng Katipunan—ang pag-ibig sa bayan at ang tapang na ipaglaban ang kalayaan. 

Mabuhay ang dakilang Anak ng Bayan!

#Juan365Cares #JuanKada #BonifacioDay",,0,"11/29/2025 22:49",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02kXCG5B5F1on8HXyNVcZUSakm5cFiUmZAgmCcMiYxEL4yad3jeHZ4C4yzaf1mF4Ftl,0,1,Photos,,,,,Lifetime,1044,543,82,72,4,6,15,12,3,,,,,,,,
122153001098654483,61569634500241,"Juan365 Live Stream","25 Days to Go, Pasko Na Talaga!

Get ready for the lights, the gifts, and the good vibes! 🎁

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya",,0,"11/29/2025 21:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02LCraXvRi3rNNGCEg9WozsDbK2mXHrESWDuvSpBxPzjgcLTRn7k1TRsBLXazwfWa7l,0,0,Photos,,,,,Lifetime,2453,1159,274,170,68,36,95,81,13,1,,,,,,,1
122152994426654483,61569634500241,"Juan365 Live Stream","Sinong Juankada buddy mo? 🤩👫 

I-mention na yan at isama niyo na rin ang User ID niyo!  🎮✨

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"11/29/2025 19:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid034TrhPAJZcDkqnfzRpDSePLM7C3MrYSFYRXhSYFkRtB9iCXFEBncAEugZoXb4mcyvl,0,0,Photos,,,,,Lifetime,2057,990,246,123,66,57,114,106,8,,,,,,,,
122152986530654483,61569634500241,"Juan365 Live Stream","STREAM ALERT! ⚡
3:30 PM with Juana Babe Ashley & Juana Babe Zell 
Huwag palampasin — kita kits sa live! 

#Juan365livestream #juanababes #Juan365",,0,"11/29/2025 17:04",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02dKFJeL4eJmNo9DeHTwLq7e8LWuSEBNChpStJFF4Ji9VxKbi9373xkUZnoXHZjsGCl,0,0,Photos,,,,,Lifetime,1997,920,319,229,62,28,131,115,16,,,,,,,,
122152940564654483,61569634500241,"Juan365 Live Stream","Solid Juankada ka ba?roll call muna!
Ipakita ang resibo,Let’s see the proud followers!🌟

#Juan365livestream #juanababes #Juan365",,0,"11/29/2025 03:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02tpozohpFHYQd1cAnijKxxAGtgzeSxCkVuiMCjykKd4VibaG6yjk7vQ4aoSkcZ47Al,0,0,Photos,,,,,Lifetime,2920,1225,274,172,78,24,163,149,14,,,,,,,,
122152928336654483,61569634500241,"Juan365 Live Stream","Don’t miss the fun—follow Juana Babe Sena now! 💙

#juanababes #Juan365PH 
#AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,"11/28/2025 22:08",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02AAz2x7CVhS9xFjGxSeE4gmDZJV5rX571gTKnfMRtUCa6ANvKvDUpq65UWrtAQhLhl,0,1,Text,,,,,Lifetime,,647,129,102,27,0,34,34,,,,,,,,,
122152926128654483,61569634500241,"Juan365 Live Stream","Stepping into my spotlight.🔥
Click follow sa livestream page—para more aura moments everyday!

Music used belongs to its rightful owner. No copyright infringement intended.
#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya","Stepping into my spotlight.🔥
Click follow sa livestream page—para more aura moments everyday!

Music used belongs to its rightful owner. No copyright infringement intended.
#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya",13,"11/28/2025 21:00",mixed,https://www.facebook.com/reel/1946738142934911/,1,0,Reels,,,,,Lifetime,2249,847,265,181,62,22,52,52,,,11432.35,6.666,,0,,0,
